;;min;max;0,3
1;pc_MaxAssimilationRate;31,5;58,5;45
2;pc_MaxCropDiameter;0,0021;0,0039;0,003
3;pc_PlantDensity;420;780;600
4;pc_RootPenetrationRate;0,00056;0,00104;0,0008
5;pc_RootGrowthLag;-21;-39;-30
6;pc_InitialRootingDepth;0,07;0,13;0,1
7;pc_CropSpecificMaxRootingDepth;0,21;0,39;0,3
8;pc_RootFormFactor;3,5;6,5;5
9;pc_MinimumNConcentrationRoot;0,0035;0,0065;0,005
10;pc_NConcentrationRoot;0,014;0,026;0,02
11;pc_MaxNUptakeParam;2,2015;4,0885;3,145
12;pc_MinimumAvailableN;0,000525;0,000975;0,00075
13;pc_DefaultRadiationUseEfficiency;0,35;0,65;0,5
14;pc_CanopyReflectionCoefficient;0,056;0,104;0,08
15;pc_SaturationBeta;1,75;3,25;2,5
16;pc_StomataConductanceAlpha;28;52;40
17;pc_StageAtMaxHeight;2,1;3,9;3
18;pc_CropHeightP1;6,3;11,7;9
19;pc_CropHeightP2;0,245;0,455;0,35
20;pc_LuxuryNCoeff;0,7;1,3;1
21;pc_MaintenanceRespirationParameter1;0,07;0,09;0,08
22;pc_MaintenanceRespirationParameter2;43;45;44
23;pc_GrowthRespirationParameter1;0,09;0,11;0,1
24;pc_GrowthRespirationParameter2;37;39;38
25;pc_ResidueNRatio;0,7;1,3;1
26;pc_MinimumNConcentration;0,0035;0,0065;0,005
27;pc_NConcentrationB0;0;0;0
28;pc_NConcentrationPN;1,82;3,38;2,6
29;po_SpecAnaerobDenitrification;0,07;0,13;0,1
30;po_ImmobilisationRateCoeffNO3;0,35;0,65;0,5
31;po_ImmobilisationRateCoeffNH4;0,35;0,65;0,5
32;pc_MaxCropNDemand;4,2;7,8;6
$60_1$ ;pc_StageTemperatureSum1;28;52;40
$60_2$ ;pc_StageTemperatureSum2;198,8;369,2;284
$60_3$ ;pc_StageTemperatureSum3;140;260;200
$60_4$ ;pc_StageTemperatureSum4;280;520;400
$60_5$ ;pc_StageTemperatureSum5;245;455;350
$60_6$ ;pc_StageTemperatureSum6;17,5;32,5;25
$61_1$;pc_StageKcFactor1;0,42;0,78;0,6
$61_2$;pc_StageKcFactor2;0,63;1,17;0,9
$61_3$;pc_StageKcFactor3;0,651;1,209;0,93
$61_4$;pc_StageKcFactor4;0,651;1,209;0,93
$61_5$;pc_StageKcFactor5;0,651;1,209;0,93
$61_6$;pc_StageKcFactor6;0,56;1,04;0,8
$62_1$;pc_DroughtStressThreshold1;0,7;1,3;1
$62_2$;pc_DroughtStressThreshold2;0,7;1,3;1
$62_3$;pc_DroughtStressThreshold3;0,7;1,3;1
$62_4$;pc_DroughtStressThreshold4;0,7;1,3;1
$62_5$;pc_DroughtStressThreshold5;0,7;1,3;1
$62_6$;pc_DroughtStressThreshold6;0,7;1,3;1
$64_2$;pc_DaylengthRequirement2;14;26;20
$64_3$;pc_DaylengthRequirement3;14;26;20
$64_4$;pc_DaylengthRequirement4;14;26;20
$65_1$;pc_SpecificLeafArea1;0,0014;0,0026;0,002
$65_2$;pc_SpecificLeafArea2;0,0014;0,0026;0,002
$65_3$;pc_SpecificLeafArea3;0,0014;0,0026;0,002
$65_4$;pc_SpecificLeafArea4;0,0014;0,0026;0,002
$65_5$;pc_SpecificLeafArea5;0,0014;0,0026;0,002
$65_6$;pc_SpecificLeafArea6;0,0014;0,0026;0,002
$66_1$ ;pc_StageMaxRootNConcentration1;0,014;0,026;0,02
$66_2$ ;pc_StageMaxRootNConcentration2;0,014;0,026;0,02
$66_3$ ;pc_StageMaxRootNConcentration3;0,0084;0,0156;0,012
$66_4$ ;pc_StageMaxRootNConcentration4;0,007;0,013;0,01
$66_5$ ;pc_StageMaxRootNConcentration5;0,007;0,013;0,01
$66_6$ ;pc_StageMaxRootNConcentration6;0,007;0,013;0,01
$67_1$;pc_CriticalOxygenContent1;0,056;0,104;0,08
$67_2$;pc_CriticalOxygenContent2;0,056;0,104;0,08
$67_3$;pc_CriticalOxygenContent3;0,056;0,104;0,08
$67_4$;pc_CriticalOxygenContent4;0,056;0,104;0,08
$67_5$;pc_CriticalOxygenContent5;0,056;0,104;0,08
$67_6$;pc_CriticalOxygenContent6;0,056;0,104;0,08
